"Population 1. January by marital status, sex, age and time",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , ,50 years,26982,27524,26835,27102,26455,27349,27451,28148,28964,29278,29137,30357,31079,34477,36708,39376,41108,42215,41040,38476,36621,36812,35217,35921,36439,35883,36177,36638,36283,36418,36329,37690
 , ,51 years,27829,26857,27417,26695,26987,26336,27244,27323,28037,28846,29168,29011,30262,30957,34355,36585,39313,40971,42113,40923,38372,36524,36666,35117,35782,36328,35778,36100,36546,36219,36370,36260
 , ,52 years,27592,27694,26725,27271,26558,26846,26191,27104,27160,27897,28706,29051,28895,30140,30824,34235,36481,39149,40803,41969,40799,38231,36404,36544,35028,35678,36215,35641,35973,36477,36140,36285
 , ,53 years,28454,27423,27535,26563,27103,26414,26711,26063,26948,27016,27750,28568,28929,28762,30030,30692,34126,36340,39005,40643,41836,40611,38091,36257,36410,34889,35538,36096,35510,35839,36395,36022
 , ,54 years,28699,28277,27239,27381,26410,26907,26254,26538,25894,26811,26852,27594,28419,28816,28651,29895,30610,33981,36189,38845,40458,41636,40449,37908,36079,36249,34750,35428,35969,35435,35716,36264
 , ,55 years,29262,28518,28084,27058,27225,26241,26722,26095,26369,25704,26614,26709,27438,28265,28667,28492,29818,30476,33823,36030,38651,40287,41458,40272,37756,35936,36075,34596,35264,35829,35290,35570
 , ,56 years,29402,29060,28325,27903,26873,27046,26065,26522,25887,26183,25515,26440,26551,27279,28112,28495,28373,29668,30295,33661,35832,38456,40085,41250,40061,37594,35803,35937,34416,35124,35667,35153
 , ,57 years,28460,29197,28824,28107,27683,26672,26825,25858,26309,25721,25976,25330,26262,26387,27098,27910,28403,28208,29483,30127,33449,35621,38224,39844,41008,39856,37427,35636,35754,34262,34953,35484
 , ,58 years,30541,28225,28954,28598,27873,27484,26447,26618,25641,26085,25511,25734,25117,26069,26180,26902,27758,28232,28017,29311,29954,33237,35404,38014,39608,40797,39631,37185,35434,35567,34072,34784
 , ,59 years,31381,30246,27981,28719,28349,27645,27232,26214,26383,25409,25868,25270,25520,24919,25844,25982,26741,27571,28078,27827,29087,29741,32993,35153,37764,39376,40558,39401,36960,35254,35403,33893
 , ,60 years,26644,31076,29984,27718,28454,28094,27397,26947,25936,26114,25181,25618,25025,25323,24701,25652,25770,26541,27392,27817,27607,28891,29543,32749,34902,37468,39074,40296,39133,36713,35070,35198
 , ,61 years,27531,26363,30770,29704,27451,28146,27800,27114,26694,25680,25867,24946,25377,24793,25053,24438,25437,25543,26328,27169,27579,27387,28691,29288,32495,34598,37145,38771,39960,38859,36460,34803
 , ,62 years,26704,27206,26084,30431,29349,27150,27828,27464,26799,26385,25415,25582,24691,25115,24537,24797,24195,25203,25275,26094,26923,27320,27157,28409,29020,32244,34291,36811,38451,39680,38577,36198
 , ,63 years,26447,26407,26880,25759,30079,29028,26798,27482,27152,26480,26083,25124,25314,24447,24819,24253,24524,23895,24935,25029,25793,26614,27030,26914,28147,28763,31941,34027,36486,38126,39349,38255
 , ,64 years,25933,26102,26064,26523,25421,29693,28664,26437,27122,26833,26151,25744,24810,24985,24123,24512,23958,24210,23580,24597,24693,25482,26317,26734,26649,27856,28487,31653,33689,36138,37743,39008
 , ,65 years,27250,25559,25763,25689,26149,25063,29306,28229,26087,26740,26447,25798,25399,24485,24619,23782,24178,23621,23890,23265,24285,24376,25165,26012,26449,26357,27593,28198,31314,33366,35812,37350
 , ,66 years,26859,26825,25171,25388,25310,25744,24714,28855,27808,25634,26347,26046,25421,25022,24087,24228,23411,23799,23280,23507,22914,23924,24016,24835,25708,26145,26059,27277,27887,30985,32990,35418
 , ,67 years,26670,26443,26402,24769,24984,24913,25320,24308,28364,27322,25181,25924,25653,24991,24600,23647,23838,23010,23352,22899,23115,22513,23543,23615,24495,25351,25825,25700,26960,27530,30609,32612
 , ,68 years,25762,26204,25996,25941,24334,24521,24538,24861,23849,27789,26868,24757,25452,25219,24530,24110,23202,23398,22583,22885,22442,22694,22147,23116,23240,24116,24980,25478,25371,26602,27174,30237
 , ,69 years,25353,25266,25693,25517,25492,23839,24067,24069,24398,23385,27222,26354,24308,24973,24674,24046,23587,22729,22904,22140,22408,22010,22250,21758,22656,22876,23718,24580,25086,25004,26227,26805
 , ,70 years,25350,24812,24729,25168,24999,24945,23329,23541,23568,23908,22889,26651,25787,23809,24445,24114,23474,23043,22253,22385,21659,21948,21549,21800,21340,22187,22463,23273,24185,24679,24602,25831
 , ,71 years,24069,24762,24265,24144,24543,24438,24359,22800,22999,23001,23337,22367,26003,25174,23228,23869,23531,22913,22478,21687,21856,21104,21466,21040,21304,20879,21740,22023,22785,23775,24284,24209
 , ,72 years,22612,23428,24139,23660,23545,23914,23825,23726,22223,22458,22409,22731,21764,25304,24476,22593,23237,22905,22305,21861,21144,21301,20584,20920,20530,20804,20414,21281,21551,22323,23330,23862
 , ,73 years,21617,21953,22757,23487,23005,22900,23214,23186,23062,21610,21826,21749,22116,21135,24539,23778,21953,22560,22259,21718,21227,20548,20712,19987,20308,19986,20287,19925,20746,21059,21837,22799
 , ,74 years,20495,20932,21248,22064,22754,22302,22167,22538,22508,22361,21002,21158,21069,21431,20446,23792,23008,21315,21838,21542,21083,20568,19937,20083,19400,19712,19433,19714,19430,20229,20535,21270
 , ,75 years,19653,19783,20239,20527,21323,21959,21529,21425,21858,21732,21644,20315,20476,20363,20697,19752,22989,22209,20619,21095,20833,20389,19875,19297,19434,18810,19065,18822,19153,18881,19688,20005
 , ,76 years,18304,18924,19035,19441,19701,20560,21185,20760,20636,21014,20914,20833,19525,19732,19544,19900,18959,22085,21402,19853,20312,20109,19645,19146,18614,18774,18173,18423,18218,18537,18293,19107
 , ,77 years,17514,17504,18066,18238,18679,18854,19721,20299,19904,19789,20201,20030,20002,18720,18881,18688,19070,18192,21189,20538,19037,19470,19307,18879,18429,17949,18121,17497,17726,17569,17878,17701
 , ,78 years,16271,16679,16642,17177,17367,17838,17961,18810,19373,19012,18908,19332,19108,19122,17882,18034,17856,18176,17368,20272,19631,18216,18617,18441,18094,17675,17231,17410,16838,17005,16847,17145
 , ,79 years,14790,15393,15783,15784,16306,16474,16944,17016,17853,18441,18044,17914,18388,18185,18099,17009,17116,17000,17316,16538,19285,18714,17312,17725,17606,17299,16879,16434,16659,16134,16256,16128
 , ,80 years,13460,13859,14502,14843,14809,15374,15517,15957,16088,16851,17426,17062,16983,17363,17150,17100,16036,16182,16070,16381,15640,18290,17730,16365,16841,16741,16480,16044,15634,15854,15335,15437
 , ,81 years,12381,12502,12881,13533,13847,13889,14341,14560,14972,15102,15819,16273,16026,15981,16251,16115,15982,15072,15219,15139,15390,14734,17283,16702,15355,15900,15835,15588,15169,14805,15016,14540
 , ,82 years,10998,11441,11561,11921,12571,12881,12947,13298,13582,13949,14058,14750,15146,14979,14779,15139,15000,14853,14067,14235,14134,14363,13813,16144,15653,14418,14967,14895,14585,14302,13948,14128
 , ,83 years,10087,10046,10509,10618,10872,11540,11815,11973,12249,12506,12935,13023,13607,13943,13770,13639,13938,13853,13761,13075,13152,13131,13333,12839,14977,14597,13430,13952,13860,13656,13368,13033
 , ,84 years,8602,9130,9059,9518,9663,9892,10519,10760,10935,11240,11418,11825,11884,12420,12710,12620,12446,12766,12695,12722,12014,12139,12041,12270,11833,13831,13518,12467,12905,12844,12662,12437
 , ,85 years,7339,7688,8196,8153,8506,8744,8878,9490,9733,9852,10152,10312,10702,10698,11198,11473,11412,11264,11564,11608,11586,10993,11111,10935,11176,10846,12689,12405,11419,11918,11819,11618
 , ,86 years,6251,6460,6776,7279,7254,7552,7739,7926,8496,8726,8811,9024,9233,9531,9562,10047,10219,10219,10112,10457,10490,10460,9878,10059,9907,10169,9869,11472,11236,10415,10853,10773
 , ,87 years,5080,5487,5649,5939,6405,6352,6610,6798,6939,7492,7715,7795,7983,8118,8334,8418,8800,9068,9109,9007,9327,9303,9329,8742,8975,8900,9121,8880,10232,10108,9308,9757
 , ,88 years,4213,4399,4732,4890,5121,5502,5439,5723,5886,6029,6567,6679,6797,6997,6980,7204,7244,7737,7880,8059,7894,8205,8201,8119,7656,7930,7895,8083,7844,9114,8985,8255
 , ,89 years,3374,3548,3736,4033,4138,4357,4661,4615,4873,5009,5105,5527,5718,5776,5946,5972,6165,6222,6607,6841,6905,6847,7090,7029,7046,6685,6913,6873,7001,6867,7986,7865
 , ,90 years,2572,2760,2915,3127,3342,3438,3629,3937,3893,4055,4224,4260,4690,4727,4790,5023,4983,5186,5301,5676,5770,5879,5790,6004,5925,6085,5742,5919,5869,6015,5873,6866
 , ,91 years,1987,2066,2229,2391,2545,2736,2800,2971,3234,3199,3327,3508,3532,3822,3886,3931,4157,4084,4338,4412,4745,4856,4905,4800,4976,4944,5081,4822,4986,4927,5055,4965
 , ,92 years,1549,1549,1626,1786,1874,2022,2149,2273,2390,2592,2543,2670,2818,2853,3053,3147,3098,3386,3257,3526,3520,3896,3890,4012,3898,4069,4058,4202,3960,4171,4118,4212
 , ,93 years,1040,1179,1192,1304,1386,1450,1576,1695,1772,1910,2015,1995,2097,2200,2225,2394,2475,2451,2709,2568,2805,2790,3138,3063,3212,3116,3261,3262,3393,3159,3391,3359
 , ,94 years,808,782,878,924,1009,1068,1104,1210,1308,1363,1455,1540,1501,1609,1655,1713,1830,1890,1919,2104,2008,2171,2127,2430,2400,2542,2453,2570,2580,2667,2475,2690
 , ,95 years,511,582,569,681,692,751,776,832,912,984,1006,1085,1148,1142,1174,1218,1221,1364,1392,1469,1580,1561,1617,1579,1856,1828,1979,1896,1994,1967,2045,1950
 , ,96 years,360,367,422,418,481,501,520,576,629,669,704,741,799,816,820,869,861,886,996,1033,1067,1164,1154,1189,1148,1375,1319,1465,1404,1511,1445,1541
 , ,97 years,243,263,249,288,263,330,363,381,424,422,472,487,528,551,559,571,581,597,610,754,732,739,824,813,877,811,980,979,1069,1016,1111,1017
 , ,98 years,141,161,191,182,198,182,219,260,267,300,282,309,331,367,375,387,379,381,397,414,522,508,530,547,565,624,569,670,699,741,706,816
 , ,99 years and over,209,214,253,279,275,312,311,332,371,417,454,449,503,533,545,592,597,588,634,678,685,757,825,839,843,925,997,1003,1092,1174,1251,1259
