"Population 1. January by marital status, sex, age and time",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , ,61 years,53279,51019,58955,56695,52811,53817,53413,51906,51231,49621,50153,48154,49073,48161,48300,47718,49502,49964,51607,53000,54440,54530,56834,58126,64862,68651,74246,77809,80273,77429,72553,68813
 , ,62 years,51121,52417,50223,58080,55785,51985,52987,52581,51114,50460,48889,49433,47503,48403,47459,47623,47068,48903,49333,51019,52412,53864,53924,56188,57467,64199,67872,73430,77011,79467,76715,71844
 , ,63 years,50655,50256,51500,49395,57077,54875,51120,52085,51695,50301,49662,48140,48737,46874,47648,46772,46945,46367,48220,48644,50335,51703,53189,53271,55483,56794,63464,67129,72603,76192,78633,75897
 , ,64 years,49349,49701,49330,50571,48457,56055,53878,50198,51121,50818,49410,48802,47339,47937,46125,46847,46029,46178,45633,47412,47900,49579,50978,52443,52547,54756,56077,62692,66289,71723,75270,77749
 , ,65 years,51200,48372,48729,48354,49546,47484,54948,52765,49226,50124,49850,48491,47963,46489,47060,45305,46030,45164,45402,44855,46639,47170,48839,50216,51721,51797,54070,55347,61857,65409,70842,74373
 , ,66 years,50271,50073,47349,47736,47306,48504,46492,53727,51695,48105,49108,48842,47584,47037,45492,46092,44419,45122,44343,44489,44041,45786,46352,48050,49436,50956,51000,53243,54527,60998,64507,69839
 , ,67 years,50012,49113,48935,46270,46598,46239,47331,45437,52448,50426,46999,48024,47792,46504,45946,44438,45144,43431,44076,43418,43555,43126,44882,45425,47246,48583,50107,50171,52433,53639,60075,63593
 , ,68 years,47805,48748,47858,47730,45111,45389,45094,46168,44302,51080,49182,45887,46888,46747,45359,44796,43334,44071,42410,43003,42352,42574,42225,43896,44514,46363,47680,49262,49364,51542,52776,59128
 , ,69 years,46647,46438,47403,46620,46466,43897,44171,43903,44942,43152,49693,47853,44713,45665,45459,44136,43584,42198,42947,41322,41917,41318,41525,41271,42832,43586,45410,46742,48297,48480,50641,51864
 , ,70 years,46042,45213,45014,46009,45292,45049,42576,42837,42633,43671,41920,48226,46426,43397,44346,44121,42800,42305,40979,41764,40227,40829,40224,40448,40288,41819,42636,44381,45771,47331,47535,49726
