"Population 1. January by marital status, sex, age and time"

" "," "," ","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Total"
" ","Total"
" "," ","67 years",68864,72355,74907,72556,68177,64559,64841,62766,63587,64797,63765,65058
" "," ","68 years",62632,67844,71400,73822,71636,67240,63720,63940,61861,62791,63954,63020
" "," ","69 years",58164,61640,66770,70317,72748,70608,66308,62744,63007,60949,61874,63159
" "," ","70 years",50946,57084,60551,65645,69189,71639,69467,65273,61805,61963,59996,61047
" "," ","71 years",48762,49923,56023,59414,64462,67932,70445,68244,64190,60762,60925,58985
" "," ","72 years",45421,47730,48954,54998,58270,63158,66625,69167,67036,63024,59626,59875
" "," ","73 years",44128,44338,46611,47876,53758,57059,61802,65221,67743,65776,61729,58489
" "," ","74 years",41333,42919,43228,45513,46764,52500,55754,60360,63780,66246,64250,60398
" "," ","75 years",38612,40170,41726,42093,44315,45541,51165,54278,58778,62193,64618,62676
" "," ","76 years",35642,37319,38953,40434,40935,43056,44244,49698,52778,57095,60392,62839
" "," ","77 years",33463,34311,36015,37706,39125,39650,41718,42819,48254,51146,55334,58531
" "," ","78 years",30691,31991,32921,34612,36344,37712,38303,40197,41368,46603,49296,53377
" "," ","79 years",28858,29298,30549,31549,33154,34908,36218,36801,38658,39889,44870,47428
" "," ","80 years",26895,27301,27796,29131,30067,31627,33410,34621,35232,37008,38186,42875
" "," ","81 years",25224,25324,25738,26327,27539,28520,30040,31702,32993,33551,35206,36334
" "," ","82 years",23377,23525,23700,24214,24737,25960,26815,28321,29985,31267,31758,33257
" "," ","83 years",22102,21673,21816,22111,22606,23077,24224,24980,26583,28176,29384,29789
" "," ","84 years",19724,20347,19976,20147,20420,20943,21437,22464,23170,24708,26305,27313
" "," ","85 years",18433,18030,18532,18401,18487,18751,19192,19696,20704,21349,22686,24212
" "," ","86 years",16483,16691,16341,16846,16674,16829,17027,17415,17963,18866,19348,20657
" "," ","87 years",14925,14804,15038,14724,15126,14918,15043,15166,15647,16096,16870,17354
" "," ","88 years",12774,13140,13043,13313,13005,13338,13159,13259,13431,13885,14232,14914
" "," ","89 years",10591,11216,11386,11422,11633,11382,11707,11379,11590,11742,12048,12268
